"","term","gene"
"301","aDC%IRIS%3.txt81","C1orf27"
"302","aDC%IRIS%3.txt82","ARL8B"
"303","aDC%IRIS%3.txt83","ZNF654"
"304","aDC%IRIS%3.txt84","MFN1"
"305","aDC%IRIS%3.txt85","NECAP2"
"306","aDC%IRIS%3.txt86","CHFR"
"307","aDC%IRIS%3.txt87","C5orf15"
"308","aDC%IRIS%3.txt88","CAMK1G"
"309","aDC%IRIS%3.txt89","DENND1A"
"310","aDC%IRIS%3.txt90","GPR107"
"311","aDC%IRIS%3.txt91","MIIP"
"312","aDC%IRIS%3.txt92","NSUN3"
"313","aDC%IRIS%3.txt93","UBE2Z"
"314","aDC%IRIS%3.txt94","TNIP2"
"315","aDC%IRIS%3.txt95","SLCO5A1"
"316","aDC%IRIS%3.txt96","ADPGK"
"317","aDC%IRIS%3.txt97","DOT1L"
"318","aDC%IRIS%3.txt98","LILRA5"
"319","Adipocytes%ENCODE%1.txt1","ADH1B"
"320","Adipocytes%ENCODE%1.txt2","DLAT"
"321","Adipocytes%ENCODE%1.txt3","GPD1"
"322","Adipocytes%ENCODE%1.txt4","LBP"
"323","Adipocytes%ENCODE%1.txt5","PLIN1"
"324","Adipocytes%ENCODE%1.txt6","PPP1R1A"
"325","Adipocytes%ENCODE%1.txt7","PPP2R1B"
"326","Adipocytes%ENCODE%1.txt8","PTGER3"
"327","Adipocytes%ENCODE%1.txt9","CILP"
"328","Adipocytes%ENCODE%1.txt10","ADIPOQ"
"329","Adipocytes%ENCODE%1.txt11","COL5A3"
"330","Adipocytes%ENCODE%1.txt12","PNPLA2"
"331","Adipocytes%ENCODE%2.txt1","ADH1B"
"332","Adipocytes%ENCODE%2.txt2","ATP5G3"
"333","Adipocytes%ENCODE%2.txt3","DLAT"
"334","Adipocytes%ENCODE%2.txt4","GPD1"
"335","Adipocytes%ENCODE%2.txt5","HADHA"
"336","Adipocytes%ENCODE%2.txt6","LBP"
"337","Adipocytes%ENCODE%2.txt7","PLIN1"
"338","Adipocytes%ENCODE%2.txt8","PPP1R1A"
"339","Adipocytes%ENCODE%2.txt9","PPP2R1B"
"340","Adipocytes%ENCODE%2.txt10","PTGER3"
"341","Adipocytes%ENCODE%2.txt11","CILP"
"342","Adipocytes%ENCODE%2.txt12","ADIPOQ"
"343","Adipocytes%ENCODE%2.txt13","COL5A3"
"344","Adipocytes%ENCODE%2.txt14","PNPLA2"
"345","Adipocytes%ENCODE%3.txt1","ADH1B"
"346","Adipocytes%ENCODE%3.txt2","ATP5G3"
"347","Adipocytes%ENCODE%3.txt3","DBI"
"348","Adipocytes%ENCODE%3.txt4","DLAT"
"349","Adipocytes%ENCODE%3.txt5","GPD1"
"350","Adipocytes%ENCODE%3.txt6","LBP"
"351","Adipocytes%ENCODE%3.txt7","PLIN1"
"352","Adipocytes%ENCODE%3.txt8","PPP2R1B"
"353","Adipocytes%ENCODE%3.txt9","PTGER3"
"354","Adipocytes%ENCODE%3.txt10","CILP"
"355","Adipocytes%ENCODE%3.txt11","ADIPOQ"
"356","Adipocytes%ENCODE%3.txt12","COL5A3"
"357","Adipocytes%ENCODE%3.txt13","PNPLA2"
"358","Adipocytes%FANTOM%1.txt1","ADH1B"
"359","Adipocytes%FANTOM%1.txt2","ATP1A2"
"360","Adipocytes%FANTOM%1.txt3","GPD1"
"361","Adipocytes%FANTOM%1.txt4","HP"
"362","Adipocytes%FANTOM%1.txt5","LBP"
"363","Adipocytes%FANTOM%1.txt6","PLIN1"
"364","Adipocytes%FANTOM%1.txt7","TF"
"365","Adipocytes%FANTOM%1.txt8","ADIPOQ"
"366","Adipocytes%FANTOM%2.txt1","ADH1B"
"367","Adipocytes%FANTOM%2.txt2","ATP1A2"
"368","Adipocytes%FANTOM%2.txt3","GPD1"
"369","Adipocytes%FANTOM%2.txt4","HP"
"370","Adipocytes%FANTOM%2.txt5","LBP"
"371","Adipocytes%FANTOM%2.txt6","PLIN1"
"372","Adipocytes%FANTOM%2.txt7","TF"
