,b cell,endothelial cell,epithelial cell,fibroblast,macrophage,nk cell,pericyte cell,smooth muscle,t cell
GTEX-XUW1-0226,-3.461696572050401,1.7693099570476039,-0.29670720449446053,2.394042696528017,-0.36320582664300305,-1.7211739407386366,-2.7113704362480835,3.07654631999886,1.314255006600102
GTEX-XUZC-0926,-3.178914853016593,1.820460005974448,-1.2136980706684717,2.8922634831210257,1.1276674378618632,-3.111545813123435,-2.57002612107094,3.3445196770340884,0.8892742538880157
GTEX-XV7Q-1526,-3.7352062808476982,1.2951359525074566,0.40966124465335957,2.5008835626594403,-0.2398586945070905,-2.210201701974188,-1.7263336597717378,2.3925660314479544,1.3133535458325025
GTEX-XYKS-1626,-3.340539786204267,1.5295675961065924,-0.6517983530967651,2.792884174634611,0.12774684122990954,-2.5340085863358346,-2.504484414041414,3.1168408336645466,1.463791694042621
GTEX-Y114-1826,-2.9957965665552675,1.6791594681885875,-0.9794057931339294,2.885054763746106,0.48831743645574116,-2.9957965665552675,-2.995796566555267,3.7493100934468218,1.1649537309624758
GTEX-Y3IK-2126,-3.365489056671353,1.764406633640822,-0.4041229589487919,2.4352991977518874,0.22433731752794794,-2.498564309929519,-2.9496768658299666,3.176902467773268,1.6169075746857051
GTEX-YFC4-2826,-3.553409873213187,1.7293040318104833,-0.6299149737265507,2.4157370688965516,0.1634346180978558,-1.5068882904269028,-2.6573935378132676,2.8865320551559877,1.1525989012190287
GTEX-YJ8O-1126,-3.3733270765086285,1.791810251985861,-0.5770692039358915,2.5839743285047434,0.15898742653334344,-2.062809794792262,-2.579225156165741,3.2042294756180842,0.8534297487604898
GTEX-ZAJG-2826,-3.3971594079132927,1.9141372419203668,-1.1428468469896484,1.665940621582181,0.6368406241149138,-3.3971594079132927,-1.698508389795698,3.0882101520589775,2.3305454129354928
GTEX-ZAK1-2526,-3.288124653473134,1.5457540395061338,-0.644712380832362,1.943933833659841,-0.8097289510376877,-0.7328070986327888,-1.4952594701738777,2.30632991322401,1.1746147677598628
GTEX-ZC5H-2126,-3.3964582750344117,1.696057297995687,-0.8941480116125965,2.1828812291070108,-0.23447469174129215,-1.305307044084133,-1.720064465029942,2.7139706502694803,0.9575433101301966
GTEX-ZLWG-1026,-3.3420025999007965,1.6621528604099394,-0.3335456258472002,2.5039243530078097,0.3221098568488857,-2.150499331832845,-2.9395200270632835,3.3094524342875355,0.9679280800899531
GTEX-ZP4G-0726,-2.967991004833184,1.7619631997855962,-0.724908974257427,2.770467963148937,0.644476960192447,-2.967991004833184,-2.967991004833185,3.8558630778443588,0.5961107877856406
GTEX-ZPIC-1226,-3.316619079398339,1.9316087802067379,-0.6411573277253977,2.3696638909629972,0.04629033063498853,-2.159663272970907,-2.662044464372748,3.3614049615588275,1.0705161811038422
GTEX-ZTPG-2026,-3.292095652563876,2.2475270104492444,-1.0233950931842961,2.2094629746785626,0.47174067082128207,-3.2801769850916607,-2.248232483434667,3.262210549262078,1.6529590090633328
GTEX-ZV6S-1526,-3.1127596748224944,2.153442129780325,-0.5713954659286907,1.957552098152654,-0.26873168666676217,-3.1127596748224944,-2.982215248313234,3.542428524375577,2.39443899824512
GTEX-ZVT2-0426,-3.3523743481613932,1.7121319471638337,-0.39381233330197274,2.4422371591366097,0.51514285484403,-2.6857256321244916,-2.619987404313467,3.2820047541711843,1.1003830025856667
GTEX-ZXES-0726,-3.0949176719676843,2.209421382387524,-0.49792114579967817,2.452647265397775,0.16150290002876752,-3.0949176719676843,-3.0949176719676843,3.6273663778687495,1.3317362360199108
GTEX-ZYVF-0526,-3.3526178770905926,2.1180672722767366,-0.8642929884317593,2.097285161813049,-0.39145673178715806,-2.500586167106382,-2.2957626528842563,3.1602277878262406,2.0291361953841216
