"Donor","organ","measurement"
"Donor744","Vagina",0.823819668046934
"Donor745","Ovary",0.913706466279648
"Donor746","Uterus",0.772133159248725
"Donor747","Vagina",0.943842036519081
"Donor748","Ovary",0.946585149193803
"Donor749","Uterus",0.725171551559911
"Donor750","Vagina",0.768109696706136
"Donor751","Ovary",0.766270635525386
"Donor752","Uterus",0.920866242051125
"Donor753","Vagina",0.954450978789219
"Donor754","Ovary",0.912967626005411
"Donor755","Uterus",0.948074476172527
"Donor756","Vagina",0.788836536689888
"Donor757","Ovary",0.448729114014317
"Donor758","Uterus",0.844224436012538
